Номер п/п,Маршрут,Тип,Наименование маршрута регулярных перевозок,МК,СК,БК,ОБК,Всего,"Минимальный интервал движения, мин","Время рейса (оборотного), мин"
1,1,Автобус,мкр. Суворовский – Ц. Рынок, , ,10, ,10,17,166
2,1а,Автобус,мкр. Суворовский - Главный автовокзал, , ,3, ,3,48,143
3,2,Автобус,Площадь Чкалова – Центральный рынок, ,3, , ,3,38,115
4,3,Автобус,Гл. ЖДВ – Лесничество, , ,15, ,15,8,121
5,3а,Автобус,Гл. ЖДВ – Обл. туб. Больница, , ,12, ,12,13,153
6,4,Автобус, Ц. Рынок - ЖК Екатерининский, , ,15, ,15,4,62
7,6,Автобус,Обл. Больница  – Ц. Рынок, , ,6, ,6,20,120
8,6а,Автобус,Обл. Больница  – Ц. Рынок, , ,6, ,6,21,128
9,7,Автобус,Гл. ЖДВ – ул. Можайская, , ,10, ,10,15,145
10,8,Автобус,"ГПЗ-10 – ТРК ""МЕГАМАГ""", , ,4, ,4,26,102
11,10,Автобус,мкр. Суворовский – ГПЗ-10, , ,7, ,7,26,181
12,11,Автобус,1-й пос. Орджоникидзе – Пригородный автовокзал, ,1, , ,1,35,35
13,12,Автобус,"ЖК ""Акварель"" – Ц. Рынок", ,3, , ,3,16,49
14,13,Автобус,"СТ ""Утро"" – Ц. Рынок", ,10, , ,10,15,147
15,15,Автобус,Западный переезд – Ц. Рынок,2,2, , ,4,17,68
16,16,Автобус,ВОС – Ц. Рынок, , ,9, ,9,7,64
17,16а,Автобус,"ЖК ""Западная резиденция"" – Ц. Рынок", , ,6, ,6,26,158
18,17а (эл),Автобус,мкр. Левенцовский – Ц. Рынок, , ,9, ,9,16,143
19,18,Автобус,мкр. Суворовский – пл. К. Маркса, , ,17, ,17,11,195
20,18а,Автобус,мкр. Суворовский – Облстной автовокзал Центральный, , ,10, ,10,24,241
21,19,Автобус,ул. Стартовая – пл. К. Маркса – ул. Стартовая, ,7, , ,7,15,107
22,20,Автобус,пос. Первомайский – пл. Мичурина,2, , , ,2,36,73
23,21,Автобус,ул. Стартовая – Главный автовокзал, ,10, , ,10,11,108
24,22,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,10, ,10,13,126
25,24,Автобус,"ул. Горсоветская – ТРК ""МЕГАМАГ""", ,8, , ,8,14,109
26,25,Автобус,ГПЗ-10 – В. Темерник, ,8, , ,8,22,177
27,27,Автобус,мкр. Суворовский – Ц. Рынок, , ,10, ,10,14,144
28,28,Автобус,"Сельмаш – с/т ""Виноградарь""", , ,1, ,1,97,97
29,29,Автобус,"СТ ""Утро"" – Гл. ЖДВ", ,10, , ,10,19,187
30,30,Автобус,"Аквапарк ""Осьминожек"" – Сельмаш", ,8, , ,8,10,77
31,31,Автобус,Очистные сооружения – Ц. Рынок,1, , , ,1,51,51
32,32,Автобус,ГПЗ-10 – пос. Каратаево, ,6, , ,6,9,56
33,33,Автобус,В. Темерник – Главный автовокзал, , ,14, ,14,9,132
34,34а,Автобус,ГПЗ-10 – Ц. Рынок, , ,11, ,11,6,70
35,35,Автобус,Инфекционная больница – Ц. Рынок, , ,14, ,14,12,168
36,36,Автобус,"Сельмаш – с-з ""Декоративные культуры""", , ,1, ,1,72,72
37,38,Автобус,Институт сервиса – Ц. Рынок, ,8, , ,8,13,105
38,39,Автобус,Ц. Рынок – Базы отдыха, , ,2, ,2,31,63
39,39а (эл),Автобус,Главный автовокзал - Центральный рынок – ЖК Левобережье, , ,4, ,4,15,61
40,40,Автобус,ул. Еременко – Завод Алмаз, ,8,10, ,18,9,170
41,41,Автобус,"ЖК ""Европейский"" – Ц. Рынок – ЖК ""Европейский""",9, , , ,9,7,60
42,42,Автобус,Инфекционная больница – Ц. Рынок, , ,14, ,14,12,173
43,43,Автобус,мкр. Суворовский – Главный автовокзал, , ,10, ,10,16,162
44,44,Автобус,"ГПЗ-10 – ТЦ ""Меркурий""", ,4,10, ,14,17,237
45,45,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,13,104
46,47,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,14,111
47,48,Автобус,Западный переезд – Ц. Рынок, ,2, , ,2,32,65
48,49,Автобус,Стройгородок – ТРК «МЕГАМАГ», , ,10, ,10,12,120
49,51,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,9,46
50,54,Автобус,Темерник – пос. Александровка, , ,12, ,12,13,156
51,55,Автобус,ул. Зорге – пос. Александровка, ,13, , ,13,15,191
52,56,Автобус,"ЖК ""Европейский"" – В. Темерник", ,10, , ,10,20,198
53,57,Автобус,пос. Кумженский – пл. Мичурина, , ,2, ,2,47,94
54,58 (эл),Автобус,Сельмаш – Ц. Рынок, , ,10, ,10,10,98
55,60,Автобус,ул. Мечникова – Ц. Рынок,2,2, , ,4,13,54
56,60а,Автобус,Новое поселение – Ц. Рынок,3, , , ,3,19,58
57,61,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,10,49
58,63,Автобус,пос. Александровка – Институт сервиса, , ,10, ,10,13,134
59,64,Автобус,пос. Каратаево – пл. Мичурина,3, , , ,3,22,66
60,65,Автобус,Институт сервиса – Ц. Рынок, , ,10, ,10,11,107
61,65а,Автобус,"Институт сервиса – ТРК ""МЕГАМАГ""", , ,10, ,10,11,114
62,66,Автобус,ул. Стартовая – пос. Александровка, , ,10, ,10,17,175
63,67,Автобус,мкр. Левенцовский – пр. Сельмаш, , ,20, ,20,9,187
64,68,Автобус,"Нахичеванский рынок – ЖК ""Красный Аксай"" – пос. Александровка", ,1, , ,1,51,51
65,70,Автобус,пос. Кирпичный – Гл. ЖДВ, , ,5, ,5,22,110
66,71,Автобус,Ц. Рынок – мкр. Левенцовский, , ,15, ,15,7,103
67,72,Автобус,"завод ""Эмпилс"" – ЖК ""Европейский""", ,3, , ,3,30,91
68,73,Автобус,"ЖК ""Западная резиденция"" – ул. Портовая", ,7, , ,7,13,94
69,74,Автобус,"ЖК ""Западная резиденция"" – Сельмаш",6, , , ,6,25,152
70,74а,Автобус,ЖК Соловьиная Роща – Улица Малиновского ,4, , , ,4,16,64
71,75,Автобус,"ЖК ""Акварель"" – Гребной канал",3, , , ,3,23,69
72,76,Автобус,ул. Нансена – ул. Береговая,4, , , ,4,13,52
73,77,Автобус,Покровский храм – Ц. Рынок – Покровский храм, , ,12, ,12,8,99
74,78,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,15, ,15,9,134
75,80,Автобус,пос. Александровка – Гл. ЖДВ, , ,7, ,7,16,115
76,81,Автобус,"ЖК ""Красный Аксай"" – мкр. Суворовский", , ,4, ,4,48,192
77,82,Автобус,пос. Александровка –  Главный автовокзал, ,14, , ,14,9,122
78,83,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,15, ,15,9,134
79,84,Автобус,"ЖК ""Вересаево"" – Главный автовокзал", , ,6, ,6,17,104
80,88 (эл),Автобус,ВОС - Областной автовокзал Центральный, , ,12, ,12,17,198
81,89,Автобус,Улица Содружества – ЖК Левенцовка парк, ,4, , ,4,19,76
82,90,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,10, ,10,15,152
83,92,Автобус,"ЖК ""Платовский"" – Ц. Рынок", , ,10, ,10,16,162
84,92а,Автобус,"СТ ""Агропром"" – Ц. Рынок – СТ ""Агропром""", ,2, , ,2,67,134
85,93,Автобус,"ГПЗ-10 – завод ""Алмаз""", ,12, , ,12,16,187
86,94,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,14,204
87,96,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,13,191
88,97,Автобус,Восточное шоссе - Центральный рынок, ,3, , ,3,16,48
89,98,Автобус,"ст. Первомайская – ЖК ""Красный Аксай""", , ,15, ,15,10,157
90,99,Автобус,Стройгородок – Главный автовокзал, , ,6, ,6,17,102
91,10,Трамвай,Центральный рынок - Площадь Мичурина, , ,3, ,3,22,52.100000000000001
92,12,Трамвай,Сельмаш - Мкр. Левенцовский, , ,8,33,41,5,130.59999999999999
93,2,Троллейбус,Приг. ЖДВ – ул. 35-я Линия,,,9,,9,8,69
94,5,Троллейбус,Гл. ЖДВ  – Сельмаш (по ул.Красноармейской),,,7,,7,11,79
95,6,Троллейбус,Ц. Рынок – ул. Лелюшенко,,,10,,10,13,132
96,8,Троллейбус,Ц. Рынок – ГПЗ-10 – Ц. Рынок (по пр. Коммунистическому),,,9,,9,9,82
97,9,Троллейбус,Гл. ЖДВ  – пос. Пилотов,,,8,,8,11,90
98,17,Троллейбус,Ц. Рынок – Стройгородок,,,8,,8,11,88
99,22,Троллейбус,Гл. ЖДВ  – пос. Александровка, , ,15, ,15,7,104
,,,,,,,,,,
,,,,,,,,,,
